state,x,y,
2,Andhra Pradesh,-34,-115
3,Arunachal Pradesh,159,102
4,Assam,133,63
5,Bihar,47,49
6,Chhattisgarh,-5,-19
7,Goa,-117,-108
8,Gujarat,-167,8
9,Haryana,-86,100
10,Himachal Pradesh,-64,139
11,Jammu and Kashmir,-97,180
12,Jharkhand,39,16
13,Karnataka,-98,-133
14,Kerala,-92,-177
15,Madhya Pradesh,-69,5
16,Maharashtra,-117,-50
17,Manipur,156,43
18,Meghalaya,112,50
19,Mizoram,142,15
20,Nagaland,161,68
21,Odisha,37,-33
22,Punjab,-97,125
23,Rajasthan,-134,65
24,Sikkim,81,79
25,Tamil Nadu,-41,-175
26,Telangana,-44,-72
27,Tripura,120,20
28,Uttar Pradesh,-37,76
29,Uttarakhand,-38,112
30,West Bengal,71,7
